name,status,institution,field,freq,impact,annual,total,hits,href
공공정책연구(구 법정리뷰) (Journal of Public Policy Studies),KCI 등재,동의대학교 지방자치연구소,사회과학일반,연3회,1.03,발행논문 : 연간 35건,총 논문 : 315건,정책;자치;지방;공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004133&sereSearBean.sereId=SER000004651
글로벌 거버넌스와 문화,KCI 등재,한양대학교 유럽-아프리카 연구소,사회과학일반,연2회,0.13,발행논문 : 연간 9건,총 논문 : 56건,거버넌스,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010016&sereSearBean.sereId=SER000006253
노동정책연구 (Quarterly Journal of Labor Policy),KCI 등재,한국노동연구원,사회과학일반,연4회,1.11,발행논문 : 연간 23건,총 논문 : 510건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002620&sereSearBean.sereId=001780
대학연구,KCI 후보,숙명여자대학교 글로벌거버넌스연구소,사회과학일반,연2회,0.5,발행논문 : 연간 6건,총 논문 : 32건,거버넌스,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000058103&sereSearBean.sereId=SER000006282
법률상담사례집,,국립군산대학교 법학연구소,사회과학일반,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002866&sereSearBean.sereId=SER000001685
법정리뷰(구 동의법정) (Law and Political Science Review),,동의대학교 지방자치연구소,사회과학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004133&sereSearBean.sereId=SER000004652
법학연구,,국립군산대학교 법학연구소,사회과학일반,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002866&sereSearBean.sereId=SER000001686
보건경제와 정책연구 (The Korean Journal of Health Economics and Policy),KCI 등재,한국보건경제정책학회,사회과학일반,연4회,0.71,발행논문 : 연간 19건,총 논문 : 407건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002122&sereSearBean.sereId=001714
사이버커뮤니케이션학보 (Journal of Cybercommunication Academic Society),KCI 등재,사이버커뮤니케이션학회,사회과학일반,연4회,3.27,발행논문 : 연간 20건,총 논문 : 450건,사이버,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001946&sereSearBean.sereId=001789
사회과학담론과 정책 (Discourse and Policy in Social Science),KCI 등재,경북대학교 사회과학연구원,사회과학일반,연2회,1.86,발행논문 : 연간 15건,총 논문 : 279건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006899&sereSearBean.sereId=SER000000901
연구보고서,,경찰대학 치안정책연구소,사회과학일반,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000001511
육아정책연구 (Korean Journal of Child Care and Education Policy),KCI 등재,육아정책연구소,사회과학일반,연3회,2.66,발행논문 : 연간 15건,총 논문 : 301건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008476&sereSearBean.sereId=SER000002260
접경지역통일연구 (The Journal of the Border Area and Reunification Studies),,한국접경지역통일학회,사회과학일반,연2회,0,발행논문 : 연간 15건,총 논문 : 30건,통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063503&sereSearBean.sereId=SER000005887
정보통신정책연구 (International Telecommunications Policy Review),KCI 등재,정보통신정책학회,사회과학일반,연4회,1.64,발행논문 : 연간 18건,총 논문 : 460건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001267&sereSearBean.sereId=000415
정보통신정책연구 (Korean Telecommunications Policy Review),KCI 등재,정보통신정책학회,사회과학일반,연4회,1.64,발행논문 : 연간 18건,총 논문 : 460건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001267&sereSearBean.sereId=000415
정신건강 및 행동분석 연구 (JOURNAL OF MENTAL HEALTH & BEHAVIOR ANALYSIS),KCI 등재,한국정신건강및행동분석학회,사회과학일반,연3회,0,발행논문 : 연간 12건,총 논문 : 46건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000064625&sereSearBean.sereId=SER000006106
정치와 공론 (Politics & Public Opinion),KCI 등재,(사)한국정치평론학회,사회과학일반,연2회,0.47,발행논문 : 연간 10건,총 논문 : 57건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008619&sereSearBean.sereId=SER000002288
지방자치연구,,전북대학교 지방자치연구소,사회과학일반,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003224&sereSearBean.sereId=SER000003646
치안과학기술리뷰,,경찰대학 치안정책연구소,사회과학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000006847
치안논총,,경찰대학 치안정책연구소,사회과학일반,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000001508
치안정책리뷰,,경찰대학 치안정책연구소,사회과학일반,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000001510
한국공공관리학보 (Korean Public Management Review),KCI 등재,한국공공관리학회,사회과학일반,연4회,2.14,발행논문 : 연간 37건,총 논문 : 809건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000259&sereSearBean.sereId=001744
한국범죄정보연구 (Korea Criminal Intelligence Review),KCI 등재,한국사회안전 범죄정보학회,사회과학일반,연2회,0.64,발행논문 : 연간 16건,총 논문 : 143건,안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000042308&sereSearBean.sereId=SER000004626
한국사회안전학회지 (Korean Journal of Security and Safety),,한국사회안전학회,사회과학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001269&sereSearBean.sereId=SER000002833
한국음식문화전략연구지 (Institute of Korean Food Culture & Strategy),,한국음식문화전략연구원,사회과학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006663&sereSearBean.sereId=SER000000692
한국지방공기업학회보 (The Korean Journal of Local Public Enterprises),KCI 등재,한국지방공기업학회,사회과학일반,연2회,0.44,발행논문 : 연간 8건,총 논문 : 82건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002460&sereSearBean.sereId=SER000002789
한국테러학회보 (Korean terrorism studies Review),KCI 등재,한국테러학회,사회과학일반,연4회,0.58,발행논문 : 연간 26건,총 논문 : 503건,테러,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002466&sereSearBean.sereId=SER000003128
"항공보안ㆍ안전 거버넌스 (Journal of Aviation Security, Safety and Governance)",KCI 등재,한국항공보안학회,사회과학일반,연3회,0.36,발행논문 : 연간 14건,총 논문 : 111건,거버넌스;안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000073939&sereSearBean.sereId=SER000006306
현대사회와 다문화 (Contemporary Society and Multiculture),KCI 등재,대구대학교 다문화사회정책연구소,사회과학일반,연4회,1.48,발행논문 : 연간 20건,총 논문 : 222건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000009937&sereSearBean.sereId=SER000003715
현대사회와 행정 (Modern Society and Public Administration),KCI 등재,한국국정관리학회,사회과학일반,연4회,1.69,발행논문 : 연간 27건,총 논문 : 531건,행정;국정;사회와 행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000316&sereSearBean.sereId=001878
비판사회정책 제62호~65호,,비판과 대안을 위한 사회복지학회/ 건강정책학회,사회복지학,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001990&sereSearBean.sereId=SER000006076
비판사회정책 제66호~69호,,비판과 대안을 위한 사회복지학회/ 건강정책학회,사회복지학,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001990&sereSearBean.sereId=SER000006077
비판사회정책 제70호~73호,,비판과 대안을 위한 사회복지학회/ 건강정책학회,사회복지학,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001990&sereSearBean.sereId=SER000006078
사회복지정책 (Social Welfare Policy),KCI 등재,한국사회복지정책학회,사회복지학,연4회,1.43,발행논문 : 연간 38건,총 논문 : 956건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000890&sereSearBean.sereId=001012
사회복지정책 18집 (Social Welfare Policy),KCI 등재,한국사회복지정책학회,사회복지학,연4회,1.43,발행논문 : 연간 38건,총 논문 : 956건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000890&sereSearBean.sereId=001012
정신건강과 사회복지 (Mental Health & Social Work),KCI 등재,한국정신건강사회복지학회,사회복지학,연4회,2.65,발행논문 : 연간 26건,총 논문 : 657건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001305&sereSearBean.sereId=000500
정신보건과 사회사업,KCI 등재,한국정신건강사회복지학회,사회복지학,연4회,2.65,발행논문 : 연간 26건,총 논문 : 657건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001305&sereSearBean.sereId=000500
정신보건과 사회사업 (Mental Health & Social Work),KCI 등재,한국정신건강사회복지학회,사회복지학,연4회,2.65,발행논문 : 연간 26건,총 논문 : 657건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001305&sereSearBean.sereId=000500
한국군사회복지학,KCI 등재,한국군사회복지학회,사회복지학,연2회,0.37,발행논문 : 연간 10건,총 논문 : 154건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002344&sereSearBean.sereId=SER000003069
한국사회복지행정학 (Journal of Korean Social Welfare Administration),KCI 등재,한국사회복지행정학회,사회복지학,연4회,2.32,발행논문 : 연간 26건,총 논문 : 660건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002004&sereSearBean.sereId=000981
한국사회복지행정학 (Journal of Korean social welfare administration),KCI 등재,한국사회복지행정학회,사회복지학,연4회,2.32,발행논문 : 연간 26건,총 논문 : 660건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002004&sereSearBean.sereId=000981
사회복지정책과실천 (Social Welfare Policy and Practice),KCI 등재,사회복지정책실천회,사회복지학일반,연3회,1.7,발행논문 : 연간 13건,총 논문 : 156건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061834&sereSearBean.sereId=SER000005180
복지행정연구,,안양대학교 복지행정연구소,사회복지행정,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003974&sereSearBean.sereId=SER000012973
Journal of Mountains and Humanities,,국립순천대학교 지리산권문화연구원,산악지방,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003107&sereSearBean.sereId=SER000004453
무역구제연구 (Journal of Trade Remedy),KCI 등재,무역구제학회,산업/통상정책,연3회,0.37,발행논문 : 연간 13건,총 논문 : 63건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000011687&sereSearBean.sereId=SER000004027
모래상자치료연구 (journal of sandtray therapy),,한국모래상자치료학회,상담심리/심리치료,연1회,0,발행논문 : 연간 5건,총 논문 : 16건,자치,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002176&sereSearBean.sereId=SER000004913
심리상담 및 모래놀이치료 (Psychological Counselling and Sandplay Therapy),KCI 등재,(사) 한국학교공공모래놀이학회,상담심리/심리치료,연3회,1,발행논문 : 연간 6건,총 논문 : 48건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000066254&sereSearBean.sereId=SER000005663
학교상담 및 모래놀이 (School Counselling and Sandplay),KCI 등재,(사) 한국학교공공모래놀이학회,상담심리/심리치료,연3회,1,발행논문 : 연간 6건,총 논문 : 48건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000066254&sereSearBean.sereId=SER000005663
유통전략연구 (Journal of Distribution Strategy),,세종대학교 유통전략연구소,소매유통,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000071935&sereSearBean.sereId=SER000006350
소비자정책교육연구 (Consumer Policy and Education Review),KCI 등재,한국소비자정책교육학회,소비자/소비경제,연4회,1.82,발행논문 : 연간 23건,총 논문 : 516건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002094&sereSearBean.sereId=SER000010337
방송과 커뮤니케이션 (Broadcasting & Communacation),KCI 등재,한국방송학회,신문방송학,연4회,2.22,발행논문 : 연간 12건,총 논문 : 269건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=001742
방송과 커뮤니케이션 (Broadcasting & Communication),KCI 등재,한국방송학회,신문방송학,연4회,2.22,발행논문 : 연간 12건,총 논문 : 269건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=001742
방송문화연구,KCI 등재,한국방송공사,신문방송학,연2회,1.25,발행논문 : 연간 10건,총 논문 : 255건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002266&sereSearBean.sereId=001525
방송연구,KCI 등재,한국방송학회,신문방송학,연4회,2.83,발행논문 : 연간 18건,총 논문 : 446건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=SER000000521
방송연구 (Korean Journal of Broadcasting & Telecommunications Research),KCI 등재,한국방송학회,신문방송학,연4회,2.83,발행논문 : 연간 18건,총 논문 : 446건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=SER000000521
방송통신연구 (Korean Journal of Broadcasting & Telecommunications Research),KCI 등재,한국방송학회,신문방송학,연4회,2.83,발행논문 : 연간 18건,총 논문 : 446건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=SER000000521
한국방송학보 (Korean Journal of Broadcasting and Telecommunication Studies),,한국방송학회,신문방송학,연6회,2.87,발행논문 : 연간 42건,"총 논문 : 1,102건",국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=000045
한국방송학보 (Korean Journal of Broadcasting),,한국방송학회,신문방송학,연6회,2.87,발행논문 : 연간 42건,"총 논문 : 1,102건",국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000873&sereSearBean.sereId=000045
International Journal of Military Affairs,KCI 후보,동북아학술저널연합,안보이론,연1회,0,발행논문 : 연간 9건,총 논문 : 89건,안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059637&sereSearBean.sereId=SER000005551
International Journal of Military Affairs (International Journal of Military Affairs),KCI 후보,동북아학술저널연합,안보이론,연1회,0,발행논문 : 연간 9건,총 논문 : 89건,안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059637&sereSearBean.sereId=SER000005551
안보이슈브리핑,,대전대학교 국제군사안보연구원,안보이론,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;안보;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003484&sereSearBean.sereId=SER000006242
한국해양안보논총,KCI 등재,한국해양안보포럼,안보이론,연2회,0.68,발행논문 : 연간 13건,총 논문 : 117건,안보;해양안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000068284&sereSearBean.sereId=SER000005641
한국해양안보논총 (Korea Maritime Security Review),KCI 등재,한국해양안보포럼,안보이론,연2회,0.68,발행논문 : 연간 13건,총 논문 : 117건,안보;해양안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000068284&sereSearBean.sereId=SER000005641
International Journal of Korean Unification Studies (International Journal of Korean Unification Studies),KCI 등재,통일연구원,외교/안보/통일,연2회,0.2,발행논문 : 연간 11건,총 논문 : 377건,안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002612&sereSearBean.sereId=001877
International Journal of Terrorism & National Security,KCI 후보,동북아학술저널연합,외교/안보/통일,연1회,0,발행논문 : 연간 9건,총 논문 : 86건,안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059637&sereSearBean.sereId=SER000005545
International Journal of Terrorism & National Security (International Journal of Terrorism & National Security ),KCI 후보,동북아학술저널연합,외교/안보/통일,연1회,0,발행논문 : 연간 9건,총 논문 : 86건,안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059637&sereSearBean.sereId=SER000005545
The Korea Journal of Defense Analysis,KCI 등재,한국국방연구원,외교/안보/통일,연4회,0.23,발행논문 : 연간 28건,총 논문 : 700건,국방;안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002627&sereSearBean.sereId=001109
The Korean Journal of Defense Analysis (The Korean Journal of Defense Analysis),KCI 등재,한국국방연구원,외교/안보/통일,연4회,0.23,발행논문 : 연간 28건,총 논문 : 700건,국방;안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002627&sereSearBean.sereId=001109
The Korean Journal of Security Affairs (The Korean Journal of Security Affairs),KCI 등재,국방대학교 국가안전보장문제연구소,외교/안보/통일,연2회,0,발행논문 : 연간 11건,총 논문 : 246건,국방;안보;안전;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005754&sereSearBean.sereId=002062
안보전략연구 (SECURITY STRATEGY),,대한민국재향군인회,외교/안보/통일,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안보;전략;군;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063752&sereSearBean.sereId=SER000006261
영문학술지(KJSA),KCI 등재,국방대학교 국가안전보장문제연구소,외교/안보/통일,연2회,0,발행논문 : 연간 11건,총 논문 : 246건,국방;안보;안전;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005754&sereSearBean.sereId=002062
재향군인회 안보전략연구 (study security strategy),,대한민국재향군인회 안보전략연구원,외교/안보/통일,연2회,0.2,발행논문 : 연간 11건,총 논문 : 45건,안보;전략;군;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000073512&sereSearBean.sereId=SER000006263
한국국가전략 (KRINS QUARTERLY),KCI 등재,사단법인 한국국가전략연구원,외교/안보/통일,연3회,0.86,발행논문 : 연간 18건,총 논문 : 197건,안보;전략;국가전략;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063679&sereSearBean.sereId=SER000005176
한반도 미래연구,,국민대학교 한반도미래연구원,외교/안보/통일,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안보;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000060313&sereSearBean.sereId=SER000006690
미래정책연구 (Journal of Policy Studies),,정책연구원풀울림,외교정책,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061321&sereSearBean.sereId=SER000005346
HIRA Research,KCI 등재,건강보험심사평가원,의료/복지/사회정책,연2회,0,발행논문 : 연간 13건,총 논문 : 53건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000050422&sereSearBean.sereId=SER000005933
"영성과 보건복지 (The Journal of Spirituality, Health and Welfare)",,영성과 보건복지학회,의료/복지/사회정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000041602&sereSearBean.sereId=SER000004166
장기요양연구 (The Journal of Korean Long Term Care),KCI 등재,한국장기요양학회,의료/복지/사회정책,연3회,1.51,발행논문 : 연간 11건,총 논문 : 157건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010294&sereSearBean.sereId=SER000004035
장기요양연구 (The Journal of Long Term Care),KCI 등재,한국장기요양학회,의료/복지/사회정책,연3회,1.51,발행논문 : 연간 11건,총 논문 : 157건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010294&sereSearBean.sereId=SER000004035
한국사회정책,KCI 등재,한국사회정책학회,의료/복지/사회정책,연4회,1.67,발행논문 : 연간 25건,총 논문 : 523건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000798&sereSearBean.sereId=001902
한국사회정책 (Korea Social Policy Review),KCI 등재,한국사회정책학회,의료/복지/사회정책,연4회,1.67,발행논문 : 연간 25건,총 논문 : 523건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000798&sereSearBean.sereId=001902
공공인재개발학회보 (Journal of Public Human Resource Development),,성균관대학교 공공인재개발연구센터,인사행정,격년간,0,발행논문 : 연간 0건,총 논문 : 0건,행정;공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000058193&sereSearBean.sereId=SER000005305
휴먼웨어연구 (Journal of Humanware),KCI 등재,고려대학교 HRD정책연구소,인적자원개발,연3회,1.48,발행논문 : 연간 11건,총 논문 : 66건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063699&sereSearBean.sereId=SER000005319
재무행정연구 (Public Financial Administration),KCI 후보,사단법인 한국재무행정학회,재무행정,연3회,0,발행논문 : 연간 12건,총 논문 : 37건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000074895&sereSearBean.sereId=SER000006443
정부회계연구 (Korean Governmental Accounting Review),KCI 등재,(사)한국정부회계학회,재무행정,연3회,0.61,발행논문 : 연간 13건,총 논문 : 145건,행정;정부;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000554&sereSearBean.sereId=SER000008958
군사학논단 (The Journal of Military Art &Science),,경남대학교 군사연구소,전쟁론,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007527&sereSearBean.sereId=SER000006311
정보사회와 미디어 (Information Society & Media),KCI 등재,한국정보사회학회,정보/과학기술사회학,연3회,1.76,발행논문 : 연간 15건,총 논문 : 249건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000553&sereSearBean.sereId=SER000008957
정보와 사회 (Korea Journal of Information Society),KCI 등재,한국정보사회학회,정보/과학기술사회학,연3회,1.76,발행논문 : 연간 15건,총 논문 : 249건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000553&sereSearBean.sereId=SER000008957
디지털경제사회연구 (Journal of Digital Economy and Society),KCI 후보,정보통신정책연구원,정보통신/기술경제,연2회,0,발행논문 : 연간 12건,총 논문 : 12건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000054871&sereSearBean.sereId=SER000006643
International Journal of Policy Studies (International Journal of Policy Studies),,한국정책학회,정책학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000832&sereSearBean.sereId=SER000005627
Journal of Policy Studies (Journal of Policy Studies),KCI 등재,서울대학교행정대학원,정책학,연4회,0.29,발행논문 : 연간 17건,총 논문 : 363건,행정;정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002138&sereSearBean.sereId=001564
